consecutive_number,latitude,longitude
80038,39.29463056,-102.53277778
510048,36.81472222,-76.34784167
510157,36.83286667,-76.19591111
510131,36.91277778,-76.26305556
560003,41.4718,-104.8931
320016,36.06600556,-115.18363611
510534,37.06599167,-76.42815833
510505,36.56222222,-78.17944444
510518,36.95916667,-77.39277778
510633,37.24395833,-77.29846111
510046,37.28975556,-77.38946389
510457,36.79897778,-76.37997778
190248,41.68193333,-92.98368056
120400,26.12294167,-80.35647778
480161,29.69316389,-96.572725
260061,42.26905833,-84.5804
300203,47.07643611,-114.76628056
483170,31.044475,-104.76328889
300198,46.0271,-107.81294167
300184,46.60579167,-113.00132778
80474,40.24423611,-103.95652778
80492,39.28219444,-103.30852778
350025,35.49306667,-108.49221111
490235,37.76452222,-113.01214444
50009,35.84558333,-94.18388611
380112,46.89258889,-98.45746944
482957,29.52931944,-95.86610833
61040,38.36301944,-121.96731944
170624,38.45056389,-89.55033333
400063,35.4482,-94.7806
80141,39.77837222,-104.91763889
63122,34.08148889,-117.73066111
10344,33.38652778,-86.78304444
10231,32.80710833,-85.22606389
480498,29.83664722,-95.33383056
530029,47.45598889,-122.26352222
482296,31.75160833,-106.34350556
130835,33.76799444,-84.65463889
390779,41.43926944,-81.8027
120422,26.08088333,-80.16676667
470120,35.58903056,-89.08061111
480087,31.06613056,-104.21583889
510014,37.65944444,-77.44694444
490050,37.16820833,-113.44891389
10591,34.199975,-88.1476
510525,36.96681667,-77.71414444
530017,46.51380833,-120.45356111
122349,29.21279722,-81.10077222
121379,30.50326111,-84.45821944
60146,35.39327778,-115.83077778
80159,40.47194444,-103.28728333
490209,38.81835,-111.15858611
470288,35.10931111,-86.884
10191,31.19613611,-87.32029167
482652,28.37926944,-98.05463333
160116,43.05100556,-115.58132222
480053,30.70103889,-101.225
40031,34.67079167,-111.77820833
540115,37.85795833,-80.514725
370050,34.60187222,-79.10276667
480424,32.37508056,-99.0151
482753,32.32495,-101.20073611
170742,40.20431944,-89.29664167
220509,30.3987,-90.43101111
490104,38.60614167,-112.50830556
350079,32.256225,-108.51276389
460114,44.42842222,-103.57282778
420887,41.06339444,-77.39639167
530484,47.20202222,-118.24330833
470733,35.81948889,-88.2587
300087,47.22851944,-111.7649
410289,42.08883611,-122.60321111
550216,42.676475,-88.51972778
490206,38.88257222,-111.58693333
40509,35.25581667,-111.92266111
